"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.032,-0.00015045,-4.7763e-16,0.57107,1,0.4515,0.4515,0,0
1.0325,-0.00014986,-3.2589e-16,0.57051,1,0.45752,0.45752,0,0
1.0331,-0.00014926,-3.9797e-16,0.56996,1,0.46354,0.46354,0,0
1.0336,-0.00014864,-7.7581e-16,0.5694,1,0.46956,0.46956,0,0
1.0341,-0.00014801,-7.2285e-16,0.56885,1,0.47558,0.47558,0,0
1.0347,-0.00014736,-6.0765e-16,0.5683,1,0.4816,0.4816,0,0
1.0352,-0.00014671,-4.2553e-16,0.56775,1,0.48762,0.48762,0,0
1.0357,-0.00014605,-1.1956e-16,0.5672,1,0.49364,0.49364,0,0
1.0363,-0.00014538,-2.0209e-16,0.56666,1,0.49966,0.49966,0,0
1.0368,-0.0001447,-4.3253e-16,0.56611,1,0.50568,0.50568,0,0
1.0373,-0.00014402,-2.722e-16,0.56557,1,0.5117,0.5117,0,0
1.0378,-0.00014333,-8.8725e-17,0.56504,1,0.51772,0.51772,0,0
1.0383,-0.00014263,-5.2482e-17,0.5645,1,0.52374,0.52374,0,0
1.0389,-0.00014194,-5.9822e-17,0.56397,1,0.52976,0.52976,0,0
1.0394,-0.00014124,1.8723e-16,0.56344,1,0.53578,0.53578,0,0
1.0399,-0.00014054,4.0033e-16,0.56291,1,0.5418,0.5418,0,0
1.0404,-0.00013983,4.4366e-16,0.56238,1,0.54782,0.54782,0,0
1.0409,-0.00013913,4.8953e-16,0.56186,1,0.55384,0.55384,0,0
1.0414,-0.00013842,5.3038e-16,0.56134,1,0.55986,0.55986,0,0
1.0419,-0.00013772,7.046e-16,0.56082,1,0.56588,0.56588,0,0
1.0424,-0.00013701,9.2257e-16,0.5603,1,0.5719,0.5719,0,0
1.0429,-0.00013631,8.5288e-16,0.55979,1,0.57792,0.57792,0,0
1.0434,-0.00013561,9.797e-16,0.55928,1,0.58394,0.58394,0,0
1.0439,-0.00013491,8.3869e-16,0.55877,1,0.58996,0.58996,0,0
1.0443,-0.00013421,7.8157e-16,0.55826,1,0.59598,0.59598,0,0
1.0448,-0.00013352,1.0432e-15,0.55776,1,0.602,0.602,0,0
1.0453,-0.00013283,1.1788e-15,0.55725,1,0.60802,0.60802,0,0
1.0458,-0.00013214,1.2838e-15,0.55676,1,0.61404,0.61404,0,0
1.0463,-0.00013146,1.0878e-15,0.55626,1,0.62006,0.62006,0,0
1.0467,-0.00013078,1.311e-15,0.55576,1,0.62608,0.62608,0,0
1.0472,-0.0001301,1.3384e-15,0.55527,1,0.6321,0.6321,0,0
1.0477,-0.00012943,1.4856e-15,0.55478,1,0.63812,0.63812,0,0
1.0481,-0.00012876,1.5968e-15,0.55429,1,0.64414,0.64414,0,0
1.0486,-0.0001281,1.6673e-15,0.55381,1,0.65016,0.65016,0,0
1.0491,-0.00012744,1.6329e-15,0.55332,1,0.65618,0.65618,0,0
1.0495,-0.00012679,1.5712e-15,0.55284,1,0.6622,0.6622,0,0
1.05,-0.00012614,1.5292e-15,0.55236,1,0.66822,0.66822,0,0
1.0504,-0.0001255,1.7668e-15,0.55189,1,0.67424,0.67424,0,0
1.0509,-0.00012487,1.8659e-15,0.55141,1,0.68026,0.68026,0,0
1.0513,-0.00012424,1.6811e-15,0.55094,1,0.68628,0.68628,0,0
1.0518,-0.00012361,1.9344e-15,0.55047,1,0.6923,0.6923,0,0
1.0522,-0.00012299,2.0175e-15,0.55,1,0.69832,0.69832,0,0
1.0527,-0.00012238,1.9894e-15,0.54954,1,0.70434,0.70434,0,0
1.0531,-0.00012177,1.8156e-15,0.54907,1,0.71036,0.71036,0,0
1.0536,-0.00012116,1.8831e-15,0.54861,1,0.71638,0.71638,0,0
1.054,-0.00012057,2.0507e-15,0.54815,1,0.7224,0.7224,0,0
1.0544,-0.00011998,2.199e-15,0.5477,1,0.72842,0.72842,0,0
1.0549,-0.00011939,2.0972e-15,0.54724,1,0.73444,0.73444,0,0
1.0553,-0.00011881,2.291e-15,0.54679,1,0.74046,0.74046,0,0
1.0557,-0.00011824,2.3603e-15,0.54634,1,0.74648,0.74648,0,0
1.0561,-0.00011767,2.3828e-15,0.54589,1,0.7525,0.7525,0,0
1.0566,-0.00011711,2.1208e-15,0.54544,1,0.75852,0.75852,0,0
1.057,-0.00011655,2.148e-15,0.545,1,0.76454,0.76454,0,0
1.0574,-0.000116,2.2261e-15,0.54455,1,0.77056,0.77056,0,0
1.0578,-0.00011546,2.3425e-15,0.54411,1,0.77658,0.77658,0,0
1.0582,-0.00011492,2.694e-15,0.54367,1,0.7826,0.7826,0,0
1.0587,-0.00011439,2.7601e-15,0.54323,1,0.78862,0.78862,0,0
1.0591,-0.00011386,2.6738e-15,0.5428,1,0.79464,0.79464,0,0
1.0595,-0.00011334,2.7858e-15,0.54236,1,0.80066,0.80066,0,0
1.0599,-0.00011282,2.5366e-15,0.54193,1,0.80668,0.80668,0,0
1.0603,-0.00011231,2.484e-15,0.5415,1,0.8127,0.8127,0,0
1.0607,-0.00011181,2.4757e-15,0.54107,1,0.81872,0.81872,0,0
1.0611,-0.00011131,2.4291e-15,0.54065,1,0.82474,0.82474,0,0
1.0615,-0.00011081,2.6164e-15,0.54022,1,0.83076,0.83076,0,0
1.0619,-0.00011033,2.6126e-15,0.5398,1,0.83678,0.83678,0,0
1.0623,-0.00010984,2.5437e-15,0.53938,1,0.8428,0.8428,0,0
1.0627,-0.00010936,2.611e-15,0.53896,1,0.84882,0.84882,0,0
1.0631,-0.00010889,2.6297e-15,0.53854,1,0.85484,0.85484,0,0
1.0635,-0.00010842,2.3277e-15,0.53812,1,0.86086,0.86086,0,0
1.0639,-0.00010796,2.447e-15,0.53771,1,0.86688,0.86688,0,0
1.0643,-0.00010751,2.7374e-15,0.53729,1,0.8729,0.8729,0,0
1.0647,-0.00010705,2.8128e-15,0.53688,1,0.87892,0.87892,0,0
1.065,-0.00010661,2.4502e-15,0.53647,1,0.88494,0.88494,0,0
1.0654,-0.00010616,2.5386e-15,0.53606,1,0.89096,0.89096,0,0
1.0658,-0.00010573,2.7951e-15,0.53566,1,0.89698,0.89698,0,0
1.0662,-0.0001053,2.9411e-15,0.53525,1,0.903,0.903,0,0
1.0666,-0.00010487,3.2005e-15,0.53485,1,0.90902,0.90902,0,0
1.0669,-0.00010444,2.741e-15,0.53445,1,0.91504,0.91504,0,0
1.0673,-0.00010403,2.8767e-15,0.53404,1,0.92106,0.92106,0,0
1.0677,-0.00010361,2.9408e-15,0.53365,1,0.92708,0.92708,0,0
1.0681,-0.0001032,2.8403e-15,0.53325,1,0.9331,0.9331,0,0
1.0684,-0.0001028,2.6909e-15,0.53285,1,0.93912,0.93912,0,0
1.0688,-0.0001024,2.7571e-15,0.53245,1,0.94514,0.94514,0,0
1.0692,-0.000102,2.7448e-15,0.53206,1,0.95116,0.95116,0,0
1.0696,-0.00010161,2.7752e-15,0.53167,1,0.95718,0.95718,0,0
1.0699,-0.00010122,2.8158e-15,0.53128,1,0.9632,0.9632,0,0
1.0703,-0.00010084,2.8306e-15,0.53089,1,0.96922,0.96922,0,0
1.0706,-0.00010046,3.2463e-15,0.5305,1,0.97524,0.97524,0,0
1.071,-0.00010008,3.2446e-15,0.53011,1,0.98126,0.98126,0,0
1.0714,-9.971e-05,3.2789e-15,0.52973,1,0.98728,0.98728,0,0
1.0717,-9.9343e-05,3.2167e-15,0.52934,1,0.9933,0.9933,0,0
