"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
7.1336e-006,-7.367e-006,0,9.9799e-006,0,0,0
1.8383e-005,-1.0939e-005,0,1.974e-005,0.00125,0,0
4.4427e-005,-1.4358e-005,0,-0.00022327,0.0025,0,0
6.9901e-005,-1.1975e-005,0,-0.00099256,0.00375,0,0
8.3013e-005,-6.5901e-006,0,-0.0022305,0.005,0,0
7.8016e-005,5.3785e-008,0,-0.003823,0.00625,0,0
5.2736e-005,7.0515e-006,0,-0.0056649,0.0075,0,0
6.6277e-006,1.3937e-005,0,-0.007661,0.00875,0,0
-5.9914e-005,2.0472e-005,0,-0.009728,0.01,0,0
-0.00014592,2.6533e-005,0,-0.011795,0.01125,0,0
-0.00025006,3.2061e-005,0,-0.0138,0.0125,0,0
-0.00037083,3.7029e-005,0,-0.015695,0.01375,0,0
-0.00050658,4.1429e-005,0,-0.017436,0.015,0,0
-0.00065561,4.5265e-005,0,-0.018988,0.01625,0,0
-0.0008162,4.8545e-005,0,-0.020322,0.0175,0,0
-0.00098663,5.1282e-005,0,-0.021416,0.01875,0,0
-0.0011652,5.3494e-005,0,-0.02225,0.02,0,0
-0.0013502,5.5197e-005,0,-0.022811,0.02125,0,0
-0.0015401,5.6412e-005,0,-0.023088,0.0225,0,0
-0.0017332,5.7157e-005,0,-0.023075,0.02375,0,0
-0.001928,5.7453e-005,0,-0.022767,0.025,0,0
-0.0021231,5.732e-005,0,-0.022163,0.02625,0,0
-0.0023171,5.6779e-005,0,-0.021264,0.0275,0,0
-0.0025086,5.5851e-005,0,-0.020074,0.02875,0,0
-0.0026963,5.4556e-005,0,-0.018599,0.03,0,0
-0.0028791,5.2914e-005,0,-0.016845,0.03125,0,0
-0.0030558,5.0946e-005,0,-0.014822,0.0325,0,0
-0.0032252,4.8673e-005,0,-0.012541,0.03375,0,0
-0.0033864,4.6113e-005,0,-0.010013,0.035,0,0
-0.0035385,4.3288e-005,0,-0.0072513,0.03625,0,0
-0.0036806,4.0216e-005,0,-0.0042708,0.0375,0,0
-0.0038118,3.6919e-005,0,-0.0010869,0.03875,0,0
-0.0039314,3.3415e-005,0,0.0022839,0.04,0,0
-0.0040388,2.9725e-005,0,0.0058242,0.04125,0,0
-0.0041332,2.5869e-005,0,0.0095157,0.0425,0,0
-0.0042144,2.1868e-005,0,0.013339,0.04375,0,0
-0.0042816,1.7741e-005,0,0.017276,0.045,0,0
-0.0043346,1.3511e-005,0,0.021304,0.04625,0,0
-0.004373,9.1973e-006,0,0.025404,0.0475,0,0
-0.0043967,4.8226e-006,0,0.029553,0.04875,0,0
-0.0044053,4.0875e-007,0,0.033732,0.05,0,0
-0.0043989,-4.0217e-006,0,0.037916,0.05125,0,0
-0.0043774,-8.4458e-006,0,0.042085,0.0525,0,0
-0.004341,-1.284e-005,0,0.046216,0.05375,0,0
-0.0042896,-1.7181e-005,0,0.050286,0.055,0,0
-0.0042237,-2.1443e-005,0,0.054274,0.05625,0,0
-0.0041434,-2.5602e-005,0,0.058158,0.0575,0,0
-0.0040493,-2.9633e-005,0,0.061916,0.05875,0,0
-0.0039418,-3.351e-005,0,0.065527,0.06,0,0
-0.0038214,-3.7208e-005,0,0.068969,0.06125,0,0
-0.0036889,-4.0699e-005,0,0.072225,0.0625,0,0
-0.0035449,-4.3959e-005,0,0.075273,0.06375,0,0
-0.0033904,-4.6961e-005,0,0.078098,0.065,0,0
-0.0032262,-4.9678e-005,0,0.080681,0.06625,0,0
-0.0030534,-5.2086e-005,0,0.083007,0.0675,0,0
-0.002873,-5.4158e-005,0,0.085063,0.06875,0,0
-0.0026863,-5.5871e-005,0,0.086837,0.07,0,0
-0.0024944,-5.7199e-005,0,0.088317,0.07125,0,0
-0.0022988,-5.812e-005,0,0.089497,0.0725,0,0
-0.0021008,-5.8612e-005,0,0.090371,0.07375,0,0
-0.0019019,-5.8653e-005,0,0.090935,0.075,0,0
-0.0017036,-5.8224e-005,0,0.091188,0.07625,0,0
-0.0015076,-5.7306e-005,0,0.091133,0.0775,0,0
-0.0013154,-5.5883e-005,0,0.090776,0.07875,0,0
-0.0011287,-5.394e-005,0,0.090126,0.08,0,0
-0.0009492,-5.1466e-005,0,0.089197,0.08125,0,0
-0.0007787,-4.845e-005,0,0.088004,0.0825,0,0
-0.00061888,-4.4886e-005,0,0.086571,0.08375,0,0
-0.00047147,-4.0772e-005,0,0.084923,0.085,0,0
-0.00033815,-3.611e-005,0,0.083094,0.08625,0,0
-0.00022055,-3.0912e-005,0,0.081121,0.0875,0,0
-0.00012019,-2.5198e-005,0,0.07905,0.08875,0,0
-3.8433e-005,-1.9011e-005,0,0.076934,0.09,0,0
2.3601e-005,-1.2427e-005,0,0.074837,0.09125,0,0
6.5181e-005,-5.5845e-006,0,0.072829,0.0925,0,0
8.6191e-005,1.2605e-006,0,0.070994,0.09375,0,0
8.7488e-005,7.6277e-006,0,0.069425,0.095,0,0
7.1577e-005,1.2607e-005,0,0.068223,0.09625,0,0
4.4499e-005,1.4477e-005,0,0.067492,0.0975,0,0
1.8052e-005,1.0612e-005,0,0.067277,0.09875,0,0
6.8718e-006,6.8696e-006,0,0.067296,0.1,0,0
1.0761e-005,-1.8676e-005,0,7.6302e-006,0,0.00125,0
2.5646e-005,-2.587e-005,0,1.6057e-005,0.00125,0.00125,0
5.7504e-005,-3.1117e-005,0,-0.00021528,0.0025,0.00125,0
8.3257e-005,-2.1805e-005,0,-0.0009342,0.00375,0.00125,0
8.6628e-005,-4.2545e-006,0,-0.0020776,0.005,0.00125,0
5.8851e-005,1.738e-005,0,-0.0035439,0.00625,0.00125,0
-4.05e-006,4.062e-005,0,-0.0052415,0.0075,0.00125,0
-0.0001035,6.3992e-005,0,-0.0070859,0.00875,0.00125,0
-0.00023927,8.6614e-005,0,-0.0090011,0.01,0.00125,0
-0.00041002,0.00010796,0,-0.010921,0.01125,0.00125,0
-0.0006137,0.0001277,0,-0.012788,0.0125,0.00125,0
-0.00084777,0.00014566,0,-0.014554,0.01375,0.00125,0
-0.0011094,0.00016173,0,-0.016178,0.015,0.00125,0
-0.0013956,0.00017585,0,-0.017627,0.01625,0.00125,0
-0.0017034,0.00018802,0,-0.018872,0.0175,0.00125,0
-0.0020294,0.00019824,0,-0.019889,0.01875,0.00125,0
-0.0023708,0.00020655,0,-0.020661,0.02,0.00125,0
