2 	-3.93236 	-1.24028e-18 	-0.119422
2 	-3.79943 	-3.9291e-18 	-0.119894
2 	-3.67115 	-4.53626e-18 	-0.120791
2 	-3.54734 	-6.87813e-18 	-0.122074
2 	-3.42786 	-8.61286e-18 	-0.123707
2 	-3.31256 	-9.9139e-18 	-0.125659
2 	-3.20128 	-1.19088e-17 	-0.127902
2 	-3.09388 	-1.32966e-17 	-0.13041
2 	-2.99024 	-1.52915e-17 	-0.13316
2 	-2.89021 	-1.72865e-17 	-0.136131
2 	-2.79368 	-1.79804e-17 	-0.1393
2 	-2.70052 	-1.79804e-17 	-0.14265
2 	-2.61061 	-2.12763e-17 	-0.146163
2 	-2.52385 	-2.39652e-17 	-0.149819
2 	-2.44011 	-2.70877e-17 	-0.153604
2 	-2.35929 	-3.15112e-17 	-0.1575
2 	-2.2813 	-3.22051e-17 	-0.161492
2 	-2.20604 	-3.22051e-17 	-0.165566
2 	-2.1334 	-3.42e-17 	-0.169707
2 	-2.06329 	-3.6195e-17 	-0.173902
2 	-1.99564 	-3.6195e-17 	-0.178138
2 	-1.93035 	-3.6195e-17 	-0.182404
2 	-1.86734 	-3.6195e-17 	-0.186687
2 	-1.80652 	-3.55878e-17 	-0.190978
2 	-1.74784 	-3.49807e-17 	-0.195265
2 	-1.6912 	-3.56745e-17 	-0.19954
2 	-1.63654 	-3.70623e-17 	-0.203793
2 	-1.58379 	-3.84501e-17 	-0.208016
2 	-1.53288 	-3.9144e-17 	-0.212199
2 	-1.48375 	-3.9144e-17 	-0.216336
2 	-1.43633 	-3.98379e-17 	-0.220419
2 	-1.39057 	-4.05318e-17 	-0.224439
2 	-1.34641 	-4.25267e-17 	-0.228387
2 	-1.30379 	-4.52155e-17 	-0.232253
2 	-1.26266 	-4.59094e-17 	-0.236023
2 	-1.22296 	-4.48686e-17 	-0.239681
2 	-1.18466 	-4.38277e-17 	-0.243213
2 	-1.14768 	-4.38277e-17 	-0.246625
2 	-1.112 	-4.38277e-17 	-0.249891
2 	-1.07757 	-4.38277e-17 	-0.252766
2 	-1.03863 	-4.20514e-17 	-0.255373
2 	-1.01586 	-3.9958e-17 	-0.258929
2 	-0.993217 	-4.09841e-17 	-0.260262
2 	-0.948059 	-4.40032e-17 	-0.263114
2 	-0.900995 	-4.85292e-17 	-0.265652
2 	-0.876272 	-5.07208e-17 	-0.267763
2 	-0.851886 	-4.48071e-17 	-0.269383
2 	-0.803473 	-3.76615e-17 	-0.271133
2 	-0.753096 	-3.74524e-17 	-0.272451
2 	-0.71814 	-3.83767e-17 	-0.273301
2 	-0.692197 	-3.7545e-17 	-0.275039
2 	-0.649352 	-3.747e-17 	-0.275632
2 	-0.596093 	-3.59978e-17 	-0.275939
2 	-0.541991 	-3.50827e-17 	-0.276022
2 	-0.502352 	-3.52256e-17 	-0.275949
2 	-0.474727 	-3.50998e-17 	-0.277644
2 	-0.431525 	-3.67761e-17 	-0.277464
2 	-0.375304 	-3.95517e-17 	-0.277201
2 	-0.318526 	-3.87104e-17 	-0.276895
2 	-0.261272 	-3.63218e-17 	-0.276575
2 	-0.203624 	-3.69048e-17 	-0.276273
2 	-0.145668 	-3.87722e-17 	-0.276019
2 	-0.0874897 	-3.70676e-17 	-0.275834
2 	-0.0291781 	-3.87305e-17 	-0.275737
2 	0.0291781 	-4.8098e-17 	-0.275737
2 	0.0874897 	-4.85168e-17 	-0.275833
2 	0.145668 	-4.38029e-17 	-0.276017
2 	0.203624 	-4.08946e-17 	-0.276272
2 	0.261272 	-4.15259e-17 	-0.276572
2 	0.318526 	-4.21799e-17 	-0.276892
2 	0.375304 	-3.7817e-17 	-0.277198
2 	0.431525 	-3.46945e-17 	-0.27746
2 	0.474727 	-3.39422e-17 	-0.27764
2 	0.502352 	-3.37209e-17 	-0.275945
2 	0.541991 	-3.71644e-17 	-0.276018
2 	0.596093 	-4.32836e-17 	-0.275934
2 	0.649352 	-4.85723e-17 	-0.275628
2 	0.692197 	-5.188e-17 	-0.275034
2 	0.71814 	-5.30587e-17 	-0.273297
2 	0.753096 	-5.38455e-17 	-0.272447
2 	0.803473 	-5.30138e-17 	-0.27113
2 	0.851886 	-5.30313e-17 	-0.269379
2 	0.876272 	-5.3047e-17 	-0.26776
2 	0.900995 	-5.11313e-17 	-0.265649
2 	0.948059 	-5.04217e-17 	-0.263112
2 	0.993217 	-5.19971e-17 	-0.26026
2 	1.01586 	-5.37466e-17 	-0.258928
2 	1.03863 	-5.34138e-17 	-0.255372
2 	1.07757 	-5.19809e-17 	-0.252765
2 	1.112 	-5.19809e-17 	-0.24989
2 	1.14768 	-5.19809e-17 	-0.246624
2 	1.18466 	-5.19809e-17 	-0.243213
2 	1.22296 	-5.19809e-17 	-0.239681
2 	1.26266 	-5.06799e-17 	-0.236023
2 	1.30379 	-4.87717e-17 	-0.232253
2 	1.34641 	-4.88584e-17 	-0.228387
2 	1.39057 	-4.95523e-17 	-0.224439
2 	1.43633 	-5.02462e-17 	-0.220419
2 	1.48375 	-5.09401e-17 	-0.216336
2 	1.53288 	-5.22412e-17 	-0.212199
2 	1.58379 	-5.2935e-17 	-0.208016
2 	1.63654 	-5.30218e-17 	-0.203794
2 	1.6912 	-5.57106e-17 	-0.199541
2 	1.74784 	-5.77055e-17 	-0.195266
2 	1.80652 	-5.83994e-17 	-0.190978
2 	1.86734 	-5.77923e-17 	-0.186688
2 	1.93035 	-5.64912e-17 	-0.182404
2 	1.99564 	-5.64912e-17 	-0.178139
2 	2.06329 	-5.47565e-17 	-0.173902
